class labels,features,ngrams,num_comp,classifier,measure,value
google,tfidf,all,300,Linear SVM,Recall,0.4365079365
google,tfidf,all,300,Linear SVM,Score,0.4365079365
google,tfidf,all,300,Logistic Regression,Fscore,0.4180183382
google,tfidf,all,300,Logistic Regression,Precision,0.455114382
google,tfidf,all,300,Logistic Regression,Recall,0.4444444444
google,tfidf,all,300,Logistic Regression,Score,0.4444444444
google,tfidf,all,300,Naive Bayes,Fscore,0.2512057733
google,tfidf,all,300,Naive Bayes,Precision,0.3792186572
google,tfidf,all,300,Naive Bayes,Recall,0.2063492063
google,tfidf,all,300,Naive Bayes,Score,0.2063492063
google,tfidf,all,300,Nearest Neighbors,Fscore,0.3825340927
google,tfidf,all,300,Nearest Neighbors,Precision,0.471680111
google,tfidf,all,300,Nearest Neighbors,Recall,0.5238095238
google,tfidf,all,300,Nearest Neighbors,Score,0.5238095238
google,tfidf,all,300,Neural Net,Fscore,0.4507841542
google,tfidf,all,300,Neural Net,Precision,0.4809538007
google,tfidf,all,300,Neural Net,Recall,0.4761904762
google,tfidf,all,300,Neural Net,Score,0.4761904762
google,tfidf,all,300,RBF SVM,Fscore,0.3511177595
google,tfidf,all,300,RBF SVM,Precision,0.2661249685
google,tfidf,all,300,RBF SVM,Recall,0.5158730159
google,tfidf,all,300,RBF SVM,Score,0.5158730159
google,tfidf,all,300,Random Forest,Fscore,0.34025667
google,tfidf,all,300,Random Forest,Precision,0.2600335527
google,tfidf,all,300,Random Forest,Recall,0.4920634921
google,tfidf,all,300,Random Forest,Score,0.4920634921
google,tfidf,all,400,AdaBoost,Fscore,0.4316661705
google,tfidf,all,400,AdaBoost,Precision,0.4653546042
google,tfidf,all,400,AdaBoost,Recall,0.5158730159
google,tfidf,all,400,AdaBoost,Score,0.5158730159
google,tfidf,all,400,Decision Tree,Fscore,0.39795326
google,tfidf,all,400,Decision Tree,Precision,0.3738095238
google,tfidf,all,400,Decision Tree,Recall,0.4682539683
google,tfidf,all,400,Decision Tree,Score,0.4682539683
google,tfidf,all,400,Dummy,Fscore,0.3511177595
google,tfidf,all,400,Dummy,Precision,0.2661249685
google,tfidf,all,400,Dummy,Recall,0.5158730159
google,tfidf,all,400,Dummy,Score,0.5158730159
google,tfidf,all,400,Linear SVM,Fscore,0.4444775252
google,tfidf,all,400,Linear SVM,Precision,0.4379585487
google,tfidf,all,400,Linear SVM,Recall,0.4682539683
google,tfidf,all,400,Linear SVM,Score,0.4682539683
google,tfidf,all,400,Logistic Regression,Fscore,0.4495702555
google,tfidf,all,400,Logistic Regression,Precision,0.4518732297
google,tfidf,all,400,Logistic Regression,Recall,0.4841269841
google,tfidf,all,400,Logistic Regression,Score,0.4841269841
google,tfidf,all,400,Naive Bayes,Fscore,0.3511177595
google,tfidf,all,400,Naive Bayes,Precision,0.2661249685
google,tfidf,all,400,Naive Bayes,Recall,0.5158730159
google,tfidf,all,400,Naive Bayes,Score,0.5158730159
google,tfidf,all,400,Nearest Neighbors,Fscore,0.4616824747
google,tfidf,all,400,Nearest Neighbors,Precision,0.4523633157
google,tfidf,all,400,Nearest Neighbors,Recall,0.5079365079
google,tfidf,all,400,Nearest Neighbors,Score,0.5079365079
google,tfidf,all,400,Neural Net,Fscore,0.4284072144
google,tfidf,all,400,Neural Net,Precision,0.4558551352
google,tfidf,all,400,Neural Net,Recall,0.4682539683
google,tfidf,all,400,Neural Net,Score,0.4682539683
google,tfidf,all,400,RBF SVM,Fscore,0.3511177595
google,tfidf,all,400,RBF SVM,Precision,0.2661249685
google,tfidf,all,400,RBF SVM,Recall,0.5158730159
google,tfidf,all,400,RBF SVM,Score,0.5158730159
google,tfidf,all,400,Random Forest,Fscore,0.3579426603
google,tfidf,all,400,Random Forest,Precision,0.3246490883
google,tfidf,all,400,Random Forest,Recall,0.5
google,tfidf,all,400,Random Forest,Score,0.5
google,tfidf,bi,10,AdaBoost,Fscore,0.3963386417
google,tfidf,bi,10,AdaBoost,Precision,0.3934910882
google,tfidf,bi,10,AdaBoost,Recall,0.4285714286
google,tfidf,bi,10,AdaBoost,Score,0.4285714286
google,tfidf,bi,10,Decision Tree,Fscore,0.3866003191
google,tfidf,bi,10,Decision Tree,Precision,0.387535014
google,tfidf,bi,10,Decision Tree,Recall,0.3888888889
google,tfidf,bi,10,Decision Tree,Score,0.3888888889
google,tfidf,bi,10,Dummy,Fscore,0.3511177595
google,tfidf,bi,10,Dummy,Precision,0.2661249685
google,tfidf,bi,10,Dummy,Recall,0.5158730159
google,tfidf,bi,10,Dummy,Score,0.5158730159
google,tfidf,bi,10,Linear SVM,Fscore,0.3511177595
google,tfidf,bi,10,Linear SVM,Precision,0.2661249685
google,tfidf,bi,10,Linear SVM,Recall,0.5158730159
google,tfidf,bi,10,Linear SVM,Score,0.5158730159
google,tfidf,bi,10,Logistic Regression,Fscore,0.3713323713
google,tfidf,bi,10,Logistic Regression,Precision,0.3672092189
google,tfidf,bi,10,Logistic Regression,Recall,0.5
google,tfidf,bi,10,Logistic Regression,Score,0.5
google,tfidf,bi,10,Naive Bayes,Fscore,0.116995567
google,tfidf,bi,10,Naive Bayes,Precision,0.2316375354
google,tfidf,bi,10,Naive Bayes,Recall,0.0873015873
google,tfidf,bi,10,Naive Bayes,Score,0.0873015873
google,tfidf,bi,10,Nearest Neighbors,Fscore,0.416626617
google,tfidf,bi,10,Nearest Neighbors,Precision,0.3968093635
google,tfidf,bi,10,Nearest Neighbors,Recall,0.4841269841
google,tfidf,bi,10,Nearest Neighbors,Score,0.4841269841
google,tfidf,bi,10,Neural Net,Fscore,0.4352039666
google,tfidf,bi,10,Neural Net,Precision,0.4055933485
google,tfidf,bi,10,Neural Net,Recall,0.5238095238
google,tfidf,bi,10,Neural Net,Score,0.5238095238
google,tfidf,bi,10,RBF SVM,Fscore,0.4115129057
