class labels,features,ngrams,num_comp,classifier,measure,value
my,tfidf,quad,400,Nearest Neighbors,Recall,0.4285714286
my,tfidf,uni,200,Naive Bayes,Recall,0.3253968254
my,justc,uni,all,Linear SVM,Precision,0.3572193019
google,tfidf,uni,200,Linear SVM,Precision,0.3871783017
google,tfidf,bi,10,Random Forest,Precision,0.3885145253
my,tfidf,quad,300,Linear SVM,Recall,0.4523809524
google,justc,bi,all,Random Forest,Fscore,0.3072196621
google,tfidf,uni,400,Dummy,Recall,0.5158730159
my,tfidf,bi,200,Random Forest,Precision,0.257997558
my,tfidf,bi,400,Logistic Regression,Precision,0.4554063221
my,tfidf,uni,300,Logistic Regression,Fscore,0.3797593227
my,numoc,bi,all,Naive Bayes,Score,0.2698412698
google,tfidf,bi,400,Dummy,Recall,0.5158730159
my,tfidf,bi,100,Linear SVM,Fscore,0.4113762351
google,justc,tri,all,AdaBoost,Precision,0.2267573696
google,tfidf,bi,100,Logistic Regression,Fscore,0.3707117256
google,tfidf,tri,300,Neural Net,Recall,0.4523809524
my,tfidf,all,400,Logistic Regression,Score,0.4523809524
my,numoc,uni,all,Logistic Regression,Fscore,0.3423117491
my,tfidf,all,10,AdaBoost,Recall,0.373015873
google,numoc,tri,all,Naive Bayes,Fscore,0.0001249844
google,tfidf,quad,200,AdaBoost,Score,0.4365079365
my,tfidf,quad,200,Linear SVM,Recall,0.4920634921
google,tfidf,tri,100,RBF SVM,Score,0.5158730159
my,justc,bi,all,Naive Bayes,Fscore,0.1146825397
google,tfidf,tri,100,AdaBoost,Recall,0.4206349206
my,tfidf,tri,400,Random Forest,Precision,0.310680369
google,justc,uni,all,Linear SVM,Recall,0.4523809524
my,justc,tri,all,Logistic Regression,Precision,0.0728143109
my,tfidf,tri,10,Dummy,Precision,0.0022675737
my,tfidf,uni,10,Dummy,Fscore,0.0043290043
my,numoc,uni,all,Logistic Regression,Score,0.3492063492
google,tfidf,bi,300,Nearest Neighbors,Recall,0.5158730159
google,tfidf,bi,400,Logistic Regression,Precision,0.3713083213
google,tfidf,quad,400,Decision Tree,Score,0.4126984127
my,tfidf,all,400,Nearest Neighbors,Precision,0.5278137221
google,tfidf,quad,300,Logistic Regression,Score,0.4444444444
my,tfidf,tri,200,Naive Bayes,Precision,0.4375450473
google,numoc,bi,all,Random Forest,Fscore,0.3072196621
my,justc,bi,all,Neural Net,Score,0.2698412698
my,tfidf,uni,10,Dummy,Score,0.0476190476
google,tfidf,uni,300,Linear SVM,Fscore,0.3616362897
my,tfidf,uni,300,Random Forest,Precision,0.3558381433
google,tfidf,quad,300,Nearest Neighbors,Precision,0.3733875552
google,numoc,bi,all,Linear SVM,Precision,0.2267573696
my,tfidf,quad,10,Random Forest,Recall,0.380952381
